class_id,class_name,support,precision,recall,f1,average_precision
55,Class 55,1162,0.8993576017130621,0.7228915662650602,0.8015267175572519,0.9142977008882931
13,Class 13,924,0.8828522920203735,0.5627705627705628,0.6873760740251157,0.8750022163642012
57,Class 57,2,1.0,0.5,0.6666666666666666,0.5294117647058824
75,Class 75,734,0.8518518518518519,0.5013623978201635,0.6312178387650086,0.8050473023623133
76,Class 76,11,1.0,0.45454545454545453,0.625,0.7624889447470093
62,Class 62,230,0.9326923076923077,0.4217391304347826,0.5808383233532934,0.8273611859357088
30,Class 30,324,0.8493975903614458,0.4351851851851852,0.5755102040816327,0.7511742698894086
24,Class 24,140,0.9661016949152542,0.40714285714285714,0.5728643216080402,0.7846340257394724
42,Class 42,244,0.7115384615384616,0.45491803278688525,0.555,0.5993029599080362
67,Class 67,3,1.0,0.3333333333333333,0.5,0.34089965910775155
63,Class 63,3,1.0,0.3333333333333333,0.5,0.44675324675324674
1,Class 01,207,0.5894039735099338,0.42995169082125606,0.4972067039106145,0.5641225822478297
73,Class 73,104,0.7441860465116279,0.3076923076923077,0.43537414965986393,0.5729316098164337
41,Class 41,324,0.8207547169811321,0.26851851851851855,0.4046511627906977,0.6752738161220068
31,Class 31,7,0.6666666666666666,0.2857142857142857,0.4,0.2817989161155835
34,Class 34,406,0.7769230769230769,0.24876847290640394,0.376865671641791,0.6510143107195766
39,Class 39,182,0.8333333333333334,0.21978021978021978,0.34782608695652173,0.6149777143886567
49,Class 49,242,0.864406779661017,0.21074380165289255,0.3388704318936877,0.6298506447720811
61,Class 61,83,0.8333333333333334,0.18072289156626506,0.297029702970297,0.5968052818262443
56,Class 56,177,0.9375,0.1694915254237288,0.28708133971291866,0.5871006172222607
21,Class 21,6,1.0,0.16666666666666666,0.2857142857142857,0.3775303153842431
48,Class 48,7,1.0,0.14285714285714285,0.25,0.3021381404282988
0,Class 00,8,1.0,0.125,0.2222222222222222,0.4976957737228201
43,Class 43,16,1.0,0.125,0.2222222222222222,0.3132463165167828
8,Class 08,272,0.8717948717948718,0.125,0.21864951768488747,0.6469343374562605
79,Class 79,216,0.8709677419354839,0.125,0.21862348178137653,0.5948673674871059
74,Class 74,164,0.9090909090909091,0.12195121951219512,0.21505376344086022,0.5816368860429728
28,Class 28,46,1.0,0.10869565217391304,0.19607843137254902,0.38589294504756233
2,Class 02,203,0.8095238095238095,0.08374384236453201,0.15178571428571427,0.52109982270425
40,Class 40,33,0.42857142857142855,0.09090909090909091,0.15,0.350365391149886
32,Class 32,13,1.0,0.07692307692307693,0.14285714285714285,0.2001048224543528
15,Class 15,13,1.0,0.07692307692307693,0.14285714285714285,0.6183938196357835
72,Class 72,175,0.9090909090909091,0.05714285714285714,0.10752688172043011,0.5804174077784209
5,Class 05,94,0.8333333333333334,0.05319148936170213,0.1,0.368041375680581
51,Class 51,216,0.7333333333333333,0.05092592592592592,0.09523809523809523,0.4970320552229244
50,Class 50,197,1.0,0.025380710659898477,0.04950495049504951,0.4485837526308119
44,Class 44,276,1.0,0.007246376811594203,0.014388489208633094,0.5033466265995818
9,Class 09,28,0.0,0.0,0.0,0.27378829600524096
60,Class 60,28,0.0,0.0,0.0,0.40154374634602874
12,Class 12,22,0.0,0.0,0.0,0.11023570736293808
11,Class 11,7,0.0,0.0,0.0,0.03179333026583034
10,Class 10,6,0.0,0.0,0.0,0.021284530185925514
64,Class 64,3,0.0,0.0,0.0,0.38084795321637427
65,Class 65,1,0.0,0.0,0.0,0.006134969325153374
66,Class 66,12,0.0,0.0,0.0,0.10100115007776604
29,Class 29,14,0.0,0.0,0.0,0.15660737881180484
68,Class 68,26,0.0,0.0,0.0,0.25353040109302283
58,Class 58,11,0.0,0.0,0.0,0.28131989708637956
69,Class 69,29,0.0,0.0,0.0,0.15992254264696795
70,Class 70,6,0.0,0.0,0.0,0.08940574231901048
71,Class 71,9,0.0,0.0,0.0,0.13902341466099513
7,Class 07,34,0.0,0.0,0.0,0.09021464894022006
6,Class 06,0,0.0,0.0,0.0,
4,Class 04,20,0.0,0.0,0.0,0.3007726618194708
77,Class 77,3,0.0,0.0,0.0,0.012937616900073473
78,Class 78,1,0.0,0.0,0.0,1.0
3,Class 03,4,0.0,0.0,0.0,0.42261904761904756
59,Class 59,4,0.0,0.0,0.0,0.0036445945851054746
16,Class 16,8,0.0,0.0,0.0,0.050747847340090926
14,Class 14,1,0.0,0.0,0.0,0.2
27,Class 27,24,0.0,0.0,0.0,0.4150254100272435
33,Class 33,65,0.0,0.0,0.0,0.26640743856128835
26,Class 26,5,0.0,0.0,0.0,0.09240607289799135
35,Class 35,11,0.0,0.0,0.0,0.3178888216238617
36,Class 36,0,0.0,0.0,0.0,
37,Class 37,27,0.0,0.0,0.0,0.3211949198568312
38,Class 38,11,0.0,0.0,0.0,0.09405719061163918
25,Class 25,2,0.0,0.0,0.0,0.10989010989010989
23,Class 23,0,0.0,0.0,0.0,
22,Class 22,10,0.0,0.0,0.0,0.39395675603108804
20,Class 20,4,0.0,0.0,0.0,0.1717948717948718
19,Class 19,0,0.0,0.0,0.0,
45,Class 45,7,0.0,0.0,0.0,0.21118980301977905
46,Class 46,1,0.0,0.0,0.0,0.5
47,Class 47,3,0.0,0.0,0.0,0.1682150397351458
18,Class 18,13,0.0,0.0,0.0,0.16285445412363483
17,Class 17,2,0.0,0.0,0.0,0.054887218045112776
52,Class 52,4,0.0,0.0,0.0,0.010501933094600298
53,Class 53,26,0.0,0.0,0.0,0.1398491607001083
54,Class 54,6,0.0,0.0,0.0,0.1408537532002889
80,Class 80,0,0.0,0.0,0.0,
