class_id,class_name,support,precision,recall,f1,average_precision
55,Class 55,1162,0.9156908665105387,0.6729776247848537,0.7757936507936508,0.9121906867596006
13,Class 13,924,0.8896672504378283,0.5497835497835498,0.6795986622073579,0.8767462144729425
57,Class 57,2,1.0,0.5,0.6666666666666666,0.5072463768115942
24,Class 24,140,0.9210526315789473,0.5,0.6481481481481481,0.8108871169451037
75,Class 75,734,0.8537170263788969,0.48501362397820164,0.6185925282363163,0.803969214036732
42,Class 42,244,0.6815286624203821,0.4385245901639344,0.5336658354114713,0.5662756574549225
30,Class 30,324,0.8897058823529411,0.3734567901234568,0.5260869565217391,0.7604787845942516
1,Class 01,207,0.7454545454545455,0.3961352657004831,0.5173501577287066,0.5863634133884228
67,Class 67,3,1.0,0.3333333333333333,0.5,0.5011600928074246
15,Class 15,13,1.0,0.3076923076923077,0.47058823529411764,0.5157861353903515
62,Class 62,230,0.922077922077922,0.30869565217391304,0.46254071661237783,0.8204778372498812
76,Class 76,11,1.0,0.2727272727272727,0.42857142857142855,0.6214486345502388
22,Class 22,10,0.6,0.3,0.4,0.405882769029492
41,Class 41,324,0.7916666666666666,0.2345679012345679,0.3619047619047619,0.6476108501073004
73,Class 73,104,0.8,0.19230769230769232,0.31007751937984496,0.6077959724804612
40,Class 40,33,0.5384615384615384,0.21212121212121213,0.30434782608695654,0.39814482250598854
49,Class 49,242,0.8979591836734694,0.18181818181818182,0.3024054982817869,0.5991861319403889
43,Class 43,16,0.75,0.1875,0.3,0.3874708126021565
34,Class 34,406,0.7684210526315789,0.17980295566502463,0.29141716566866266,0.634006367139964
39,Class 39,182,0.9354838709677419,0.15934065934065933,0.27230046948356806,0.60367962951783
56,Class 56,177,0.9,0.15254237288135594,0.2608695652173913,0.5710395421311352
61,Class 61,83,0.8461538461538461,0.13253012048192772,0.22916666666666666,0.5593976037150885
0,Class 00,8,1.0,0.125,0.2222222222222222,0.4492905710157422
79,Class 79,216,0.7941176470588235,0.125,0.216,0.5450630976400161
8,Class 08,272,0.868421052631579,0.1213235294117647,0.2129032258064516,0.6079600229116774
51,Class 51,216,0.7692307692307693,0.09259259259259259,0.1652892561983471,0.49558226218042173
2,Class 02,203,1.0,0.08866995073891626,0.16289592760180996,0.5323123834881694
74,Class 74,164,0.9333333333333333,0.08536585365853659,0.1564245810055866,0.6188086177362776
72,Class 72,175,0.8,0.06857142857142857,0.12631578947368421,0.5181151821605097
12,Class 12,22,1.0,0.045454545454545456,0.08695652173913043,0.20173807510835298
28,Class 28,46,1.0,0.043478260869565216,0.08333333333333333,0.4151356011377684
5,Class 05,94,0.8,0.0425531914893617,0.08080808080808081,0.3924934580649109
60,Class 60,28,1.0,0.03571428571428571,0.06896551724137931,0.27666769980045647
50,Class 50,197,1.0,0.025380710659898477,0.04950495049504951,0.4943577196186752
44,Class 44,276,1.0,0.007246376811594203,0.014388489208633094,0.5508369881837321
6,Class 06,0,0.0,0.0,0.0,
58,Class 58,11,0.0,0.0,0.0,0.30089251474355105
7,Class 07,34,0.0,0.0,0.0,0.09307258336243585
59,Class 59,4,0.0,0.0,0.0,0.005802218601953086
64,Class 64,3,0.0,0.0,0.0,0.527027027027027
63,Class 63,3,0.0,0.0,0.0,0.3841698841698842
23,Class 23,0,0.0,0.0,0.0,
65,Class 65,1,0.0,0.0,0.0,0.0024449877750611247
66,Class 66,12,0.0,0.0,0.0,0.05303552218779066
10,Class 10,6,0.0,0.0,0.0,0.05037006317205125
68,Class 68,26,0.0,0.0,0.0,0.2591854196525824
69,Class 69,29,0.0,0.0,0.0,0.17219586191044362
70,Class 70,6,0.0,0.0,0.0,0.03583935185053444
71,Class 71,9,0.0,0.0,0.0,0.2272100159775476
4,Class 04,20,0.0,0.0,0.0,0.25369602575008804
3,Class 03,4,0.0,0.0,0.0,0.12282675462023289
77,Class 77,3,0.0,0.0,0.0,0.027231940542010336
78,Class 78,1,0.0,0.0,0.0,1.0
9,Class 09,28,0.0,0.0,0.0,0.19866197364583413
52,Class 52,4,0.0,0.0,0.0,0.015235593163965572
54,Class 54,6,0.0,0.0,0.0,0.11531355711683582
53,Class 53,26,0.0,0.0,0.0,0.11897109455463575
25,Class 25,2,0.0,0.0,0.0,0.041631445477599324
26,Class 26,5,0.0,0.0,0.0,0.3645420906567992
27,Class 27,24,0.0,0.0,0.0,0.31885161583793037
29,Class 29,14,0.0,0.0,0.0,0.19815492101862928
20,Class 20,4,0.0,0.0,0.0,0.4084281650071124
31,Class 31,7,0.0,0.0,0.0,0.4572688340297115
32,Class 32,13,0.0,0.0,0.0,0.053320665865301785
33,Class 33,65,0.0,0.0,0.0,0.23632742086255648
19,Class 19,0,0.0,0.0,0.0,
35,Class 35,11,0.0,0.0,0.0,0.3377725283036488
36,Class 36,0,0.0,0.0,0.0,
37,Class 37,27,0.0,0.0,0.0,0.3955158694678787
38,Class 38,11,0.0,0.0,0.0,0.31868567001545156
18,Class 18,13,0.0,0.0,0.0,0.09898805595858486
17,Class 17,2,0.0,0.0,0.0,0.5714285714285714
16,Class 16,8,0.0,0.0,0.0,0.10447108426016993
14,Class 14,1,0.0,0.0,0.0,0.047619047619047616
45,Class 45,7,0.0,0.0,0.0,0.28110913267077997
46,Class 46,1,0.0,0.0,0.0,0.5
47,Class 47,3,0.0,0.0,0.0,0.17437713086808287
48,Class 48,7,0.0,0.0,0.0,0.22991114107617028
11,Class 11,7,0.0,0.0,0.0,0.042582014722423796
21,Class 21,6,0.0,0.0,0.0,0.532237496037641
80,Class 80,0,0.0,0.0,0.0,
