label_index,label,has_exact_tag_in_1k,exact_tag_index,exact_tag_rank,exact_tag_corr,exact_tag_ap
0,airport,True,177,1,0.43444869050967155,0.19322526999873305
1,animal,True,29,1,0.39663606539624696,0.327478799631919
2,beach,True,20,1,0.5602595751904977,0.3370966224492201
3,bear,True,229,1,0.8009791045246227,0.6444523192349857
4,birds,True,119,1,0.5417238574408693,0.3109478181300271
5,boats,True,168,1,0.4664314056903795,0.23770808943339491
6,book,True,607,1,0.12433016590070745,0.015676113220870255
7,bridge,True,94,1,0.7392380566031311,0.5525447090466135
8,buildings,True,125,2,0.22326101516505376,0.14121795602229434
9,cars,True,205,1,0.6423533963018142,0.4184848679296332
10,castle,True,367,1,0.3248570503109459,0.1084681161407504
11,cat,True,88,1,0.8253535095148371,0.6854912229243658
12,cityscape,True,353,1,0.5109260033067073,0.27144364727285125
13,clouds,True,4,1,0.35444379603906967,0.39957607032999365
14,computer,False,,,,
15,coral,True,487,1,0.6258447953977746,0.3980811971464796
16,cow,True,426,1,0.775108345335979,0.6029799127242519
17,dancing,True,450,1,0.6178303793199353,0.3848167471561398
18,dog,True,100,1,0.8542850339297613,0.7341702741869744
19,earthquake,True,944,1,0.29727636652907985,0.08870110893945035
20,elk,True,999,1,0.5854095309720205,0.34662801098578305
21,fire,False,,,,
22,fish,True,150,1,0.6622207292872871,0.44482790637540187
23,flags,True,503,1,0.4389458669209142,0.19404810542123507
24,flowers,True,39,1,0.5968787939992081,0.3951076968457622
25,food,True,129,1,0.307787340085984,0.09664434872093589
26,fox,True,688,1,0.638762516787415,0.4106430890318358
27,frost,True,631,1,0.5037930180856653,0.2587069631731463
28,garden,True,98,1,0.27965109273987593,0.09356223904546088
29,glacier,True,617,1,0.6407461420663613,0.4123535600517699
30,grass,True,72,1,0.3408496884862415,0.23015993942909851
31,harbor,True,380,1,0.3819616814867948,0.14884659799867153
32,horses,True,289,1,0.8122712750449511,0.664350453624703
33,house,True,92,1,0.31897337605777354,0.12240555499124561
34,lake,True,59,1,0.428142669366235,0.2495608620860238
35,leaf,True,271,1,0.2747406644928456,0.08293450550853296
36,map,False,,,,
37,military,True,151,1,0.5049734654643878,0.2694203725778007
38,moon,True,221,1,0.6573263970588494,0.4348294287051971
39,mountain,True,80,1,0.5610243018062381,0.33812448778820625
40,nighttime,True,820,3,0.19114808909505507,0.05363516746697128
41,ocean,True,37,1,0.39577997326865677,0.21602074533777382
42,person,True,366,20,0.10170970551008127,0.2756776036871163
43,plane,True,180,1,0.5946756956439441,0.3642473803534126
44,plants,True,211,1,0.31484937492267456,0.171151847562783
45,police,True,156,1,0.7621124900753922,0.5838548401366491
46,protest,True,212,1,0.5349811289020137,0.28948058938223137
47,railroad,True,378,1,0.8502256524828176,0.7244081506278123
48,rainbow,True,325,1,0.6525319165128154,0.4271374170816192
49,reflection,True,27,1,0.40152994938429093,0.20315959506878475
50,road,True,101,1,0.43645799439756017,0.2380520861907858
51,rocks,True,113,1,0.4741508796310062,0.25548994418346305
52,running,True,509,1,0.43165176708451003,0.1885722917550657
53,sand,True,75,2,0.14228862712809123,0.03049555257795803
54,sign,True,173,1,0.48904984375945454,0.24246742389697248
55,sky,True,1,1,0.380427685315607,0.5105831376960929
56,snow,True,41,1,0.7711940850174271,0.6104270367967839
57,soccer,True,616,1,0.4591319768216858,0.21144883742692344
58,sports,True,202,1,0.6753527375919938,0.4625984179617582
59,statue,True,292,1,0.7686372999760853,0.5919547273622703
60,street,True,31,1,0.35185215192646724,0.13644630522405202
61,sun,True,33,1,0.4522482672645259,0.22287322983759356
62,sunset,True,10,1,0.7410455521557521,0.5735041339355217
63,surf,True,652,1,0.42927517370875046,0.18530274357501336
64,swimmers,False,,,,
65,tattoo,False,,,,
66,temple,True,245,1,0.7565950595371858,0.5763681209689346
67,tiger,True,501,1,0.7217264961142141,0.523207185602993
68,tower,True,142,1,0.581753635833177,0.34953977275299297
69,town,True,347,1,0.1638407516672292,0.038812914466675785
70,toy,True,243,1,0.6218181419466238,0.3894661144867049
71,train,True,175,1,0.6297711006832114,0.39925159954868505
72,tree,True,30,1,0.4879221691344253,0.26530359731983616
73,valley,True,372,3,0.18097996323422177,0.052583358452139795
74,vehicle,True,601,1,0.26197595088381515,0.09950868732703114
75,water,True,3,1,0.5833011067669853,0.49524852494865024
76,waterfall,True,407,1,0.5366591050906626,0.290496758667484
77,wedding,True,238,1,0.7442786826904352,0.5572682584134278
78,whales,False,,,,
79,window,True,86,1,0.3769223559202455,0.21825626244236707
80,zebra,True,794,1,0.7301404653744525,0.5339692099024639
