label_index,label,label_positive_count,label_positive_rate,best_tag_index,best_tag,best_tag_corr,best_tag_pos_rate,best_tag_neg_rate,best_tag_lift,best_single_tag_ap,exact_tag_index,exact_tag_rank,exact_tag_corr,exact_tag_pos_rate,exact_tag_neg_rate,exact_tag_lift,exact_tag_ap,best_visual_abs_corr,best_visual_view,best_visual_feature_index
0,airport,494,0.004253963333247221,177,airport,0.43444869050967155,0.582995951417004,0.005093701624968651,114.45405714749157,0.19322526999873305,177,1,0.43444869050967155,0.582995951417004,0.005093701624968651,114.45405714749157,0.19322526999873305,0.12192549667854685,Normalized_EDH.npy,53
1,animal,20287,0.17469666830280642,29,animal,0.39663606539624696,0.19105831320550107,0.0010642737896494156,179.51821221333958,0.327478799631919,29,1,0.39663606539624696,0.19105831320550107,0.0010642737896494156,179.51821221333958,0.327478799631919,0.1984821398291095,Normalized_EDH.npy,63
2,beach,3012,0.025937120566276575,20,beach,0.5602595751904977,0.6942231075697212,0.020501259779870044,33.86244486433571,0.3370966224492201,20,1,0.5602595751904977,0.6942231075697212,0.020501259779870044,33.86244486433571,0.3370966224492201,0.145624969844372,Normalized_EDH.npy,55
3,bear,696,0.005993438218502157,229,bear,0.8009791045246227,0.8563218390804598,0.0017066472611343573,501.7538486381804,0.6444523192349857,229,1,0.8009791045246227,0.8563218390804598,0.0017066472611343573,501.7538486381804,0.6444523192349857,0.05007682756194839,Normalized_CH.npy,4
4,birds,2139,0.0184194890077243,119,birds,0.5417238574408693,0.43992519869097707,0.0038249640313015405,115.01390730783126,0.3109478181300271,119,1,0.5417238574408693,0.43992519869097707,0.0038249640313015405,115.01390730783126,0.3109478181300271,0.1029337725004943,Normalized_WT.npy,0
5,boats,2342,0.02016757515478743,168,boats,0.4664314056903795,0.3300597779675491,0.0032078041921167113,102.89242711709419,0.23770808943339491,168,1,0.4664314056903795,0.3300597779675491,0.0032078041921167113,102.89242711709419,0.23770808943339491,0.10994537430895916,Normalized_WT.npy,81
6,book,21,0.00018083649797204785,607,book,0.12433016590070745,0.3333333333333333,0.0012316331627995108,270.64116734563805,0.015676113220870255,607,1,0.12433016590070745,0.3333333333333333,0.0012316331627995108,270.64116734563805,0.015676113220870255,0.02199712343715288,Normalized_CH.npy,63
7,bridge,1200,0.010333514169831306,94,bridge,0.7392380566031311,0.84,0.004602921854742576,182.49238452976795,0.5525447090466135,94,1,0.7392380566031311,0.84,0.004602921854742576,182.49238452976795,0.5525447090466135,0.05320571134203337,Normalized_WT.npy,81
8,buildings,10412,0.08966045794690296,17,architecture,0.23562615553606148,0.15491740299654244,0.01657286099418247,9.347650932112044,0.15002956279395013,125,2,0.22326101516505376,0.08567038033038801,0.00376483942676063,22.75532979391979,0.14121795602229434,0.22264891647238336,Normalized_WT.npy,105
9,cars,837,0.007207626133457335,205,cars,0.6423533963018142,0.6499402628434886,0.002654176424668228,244.87363314154953,0.4184848679296332,205,1,0.6423533963018142,0.6499402628434886,0.002654176424668228,244.87363314154953,0.4184848679296332,0.0727249075002538,Normalized_WT.npy,66
10,castle,299,0.0025747672806496337,367,castle,0.3248570503109459,0.44816053511705684,0.003686500673412301,121.56767871289827,0.1084681161407504,367,1,0.3248570503109459,0.44816053511705684,0.003686500673412301,121.56767871289827,0.1084681161407504,0.03962118137775984,Normalized_CORR.npy,137
11,cat,1330,0.011452978204896363,88,cat,0.8253535095148371,0.9413533834586466,0.004085472616880232,230.41424520305156,0.6854912229243658,88,1,0.8253535095148371,0.9413533834586466,0.004085472616880232,230.41424520305156,0.6854912229243658,0.07338530245474947,Normalized_CORR.npy,12
12,cityscape,1248,0.010746854736624558,353,cityscape,0.5109260033067073,0.3613782051282051,0.0014362938396051497,251.6029026473609,0.27144364727285125,353,1,0.5109260033067073,0.3613782051282051,0.0014362938396051497,251.6029026473609,0.27144364727285125,0.12020202066968055,Normalized_WT.npy,81
13,clouds,31865,0.2743978575180621,4,clouds,0.35444379603906967,0.2176055233014279,0.014561724146115687,14.943655138730419,0.39957607032999365,4,1,0.35444379603906967,0.2176055233014279,0.014561724146115687,14.943655138730419,0.39957607032999365,0.39006433783292394,Normalized_WT.npy,60
14,computer,113,0.0009730725843257813,766,mac,0.19203266040890618,0.18584070796460178,0.000724050545623804,256.6646105602859,0.03796037767927409,,,,,,,,0.02275703277803916,Normalized_CORR.npy,12
15,coral,869,0.007483186511319503,487,coral,0.6258447953977746,0.45569620253164556,0.0005379236148466917,847.1235110702582,0.3980811971464796,487,1,0.6258447953977746,0.45569620253164556,0.0005379236148466917,847.1235110702582,0.3980811971464796,0.18992377445873748,Normalized_CH.npy,60
16,cow,467,0.0040214592644260165,426,cow,0.775108345335979,0.8244111349036403,0.001227736468960747,671.4832139582378,0.6029799127242519,426,1,0.775108345335979,0.8244111349036403,0.001227736468960747,671.4832139582378,0.6029799127242519,0.044909687631660464,Normalized_CH.npy,42
17,dancing,422,0.0036339524830573426,450,dancing,0.6178303793199353,0.6184834123222749,0.0013828270169828443,447.25691800738656,0.3848167471561398,450,1,0.6178303793199353,0.6184834123222749,0.0013828270169828443,447.25691800738656,0.3848167471561398,0.04467849319071184,Normalized_CM55.npy,103
18,dog,1411,0.012150490411359977,100,dog,0.8542850339297613,0.9007795889440113,0.002536699327033718,355.09768081995077,0.7341702741869744,100,1,0.8542850339297613,0.9007795889440113,0.002536699327033718,355.09768081995077,0.7341702741869744,0.06076228324375242,Normalized_CORR.npy,12
19,earthquake,35,0.0003013941632867464,944,earthquake,0.29727636652907985,0.7714285714285715,0.0017916824587396202,430.5585914957966,0.08870110893945035,944,1,0.29727636652907985,0.7714285714285715,0.0017916824587396202,430.5585914957966,0.08870110893945035,0.018282129902348246,Normalized_WT.npy,86
20,elk,504,0.004340075951329148,999,elk,0.5854095309720205,0.4503968253968254,0.0006054158774638264,743.9339020055946,0.34662801098578305,999,1,0.5854095309720205,0.4503968253968254,0.0006054158774638264,743.9339020055946,0.34662801098578305,0.08193638015290736,Normalized_WT.npy,126
21,fire,433,0.0037286763629474627,699,firefighter,0.17004147287056742,0.14318706697459585,0.002039863778588345,70.19408675064477,0.032985375957768855,,,,,,,,0.07287748396992623,Normalized_CH.npy,53
22,fish,956,0.008232366288632274,150,fish,0.6622207292872871,0.7154811715481172,0.0036641168349671356,195.26648879078297,0.44482790637540187,150,1,0.6622207292872871,0.7154811715481172,0.0036641168349671356,195.26648879078297,0.44482790637540187,0.18125958355372696,Normalized_CH.npy,60
23,flags,157,0.0013519681038862625,503,flags,0.4389458669209142,0.7006369426751592,0.0024834008795378117,282.1268757611125,0.19404810542123507,503,1,0.4389458669209142,0.7006369426751592,0.0024834008795378117,282.1268757611125,0.19404810542123507,0.047801208053179986,Normalized_CM55.npy,68
24,flowers,5094,0.04386576765093389,39,flowers,0.5968787939992081,0.4734982332155477,0.00592616609476462,79.89945550788673,0.3951076968457622,39,1,0.5968787939992081,0.4734982332155477,0.00592616609476462,79.89945550788673,0.3951076968457622,0.28480493927239336,Normalized_CORR.npy,33
25,food,193,0.0016619735289812017,129,food,0.307787340085984,0.43523316062176165,0.0025704280021391483,169.32257080682575,0.09664434872093589,129,1,0.307787340085984,0.43523316062176165,0.0025704280021391483,169.32257080682575,0.09664434872093589,0.06149687872272772,Normalized_CORR.npy,83
26,fox,368,0.0031689443454149336,688,fox,0.638762516787415,0.6141304347826086,0.0009761660000518318,629.1185654533612,0.4106430890318358,688,1,0.638762516787415,0.6141304347826086,0.0009761660000518318,629.1185654533612,0.4106430890318358,0.042467288008711204,Normalized_CH.npy,42
27,frost,579,0.004985920586943604,631,frost,0.5037930180856653,0.38860103626943004,0.0010125662062519473,383.7746175251713,0.2587069631731463,631,1,0.5037930180856653,0.38860103626943004,0.0010125662062519473,383.7746175251713,0.2587069631731463,0.09624289400011647,Normalized_CH.npy,30
28,garden,1596,0.013743573845875635,98,garden,0.27965109273987593,0.2819548872180451,0.009307523727200496,30.293191030192595,0.09356223904546088,98,1,0.27965109273987593,0.2819548872180451,0.009307523727200496,30.293191030192595,0.09356223904546088,0.15377285734129165,Normalized_WT.npy,30
29,glacier,273,0.002350874473636622,617,glacier,0.6407461420663613,0.7728937728937729,0.0015968373987950352,484.0123004095387,0.4123535600517699,617,1,0.6407461420663613,0.7728937728937729,0.0015968373987950352,484.0123004095387,0.4123535600517699,0.05732788352176944,Normalized_CH.npy,30
30,grass,13301,0.11453839331077183,72,grass,0.3408496884862415,0.14660551838207653,0.002032559858401572,72.12816217660938,0.23015993942909851,72,1,0.3408496884862415,0.14660551838207653,0.002032559858401572,72.12816217660938,0.23015993942909851,0.3897375608897188,Normalized_CH.npy,35
31,harbor,311,0.0026781024223479465,380,harbor,0.3819616814867948,0.5273311897106109,0.003643710713545624,144.72327633406255,0.14884659799867153,380,1,0.3819616814867948,0.5273311897106109,0.003643710713545624,144.72327633406255,0.14884659799867153,0.045737053177861274,Normalized_WT.npy,105
32,horses,983,0.008464870357453478,289,horses,0.8122712750449511,0.7243133265513734,0.0005818800805947336,1244.7597247422966,0.664350453624703,289,1,0.8122712750449511,0.7243133265513734,0.0005818800805947336,1244.7597247422966,0.664350453624703,0.06242299034732614,Normalized_CH.npy,62
33,house,2208,0.019013666072489603,92,house,0.31897337605777354,0.2658514492753623,0.007478998235588444,35.546351989602435,0.12240555499124561,92,1,0.31897337605777354,0.2658514492753623,0.007478998235588444,35.546351989602435,0.12240555499124561,0.07758548646189586,Normalized_WT.npy,80
