class_id,class_name,support,precision,recall,f1,average_precision
55,Class 55,1162,0.918918918918919,0.7022375215146299,0.7960975609756098,0.9247722304172403
13,Class 13,924,0.8970099667774086,0.5844155844155844,0.7077326343381389,0.8879727701731163
57,Class 57,2,1.0,0.5,0.6666666666666666,0.6
75,Class 75,734,0.8908045977011494,0.4223433242506812,0.5730129390018485,0.8307600758842417
24,Class 24,140,0.90625,0.4142857142857143,0.5686274509803921,0.7970269979969821
30,Class 30,324,0.8774193548387097,0.41975308641975306,0.5678496868475992,0.7728306382399615
42,Class 42,244,0.7669172932330827,0.4180327868852459,0.5411140583554377,0.6396731396693622
67,Class 67,3,1.0,0.3333333333333333,0.5,0.3620799490364708
1,Class 01,207,0.7912087912087912,0.34782608695652173,0.48322147651006714,0.6212884495207325
62,Class 62,230,0.9733333333333334,0.3173913043478261,0.4786885245901639,0.8468509750851033
0,Class 00,8,1.0,0.25,0.4,0.4604286096811605
73,Class 73,104,0.9166666666666666,0.21153846153846154,0.34375,0.6847883478111634
22,Class 22,10,1.0,0.2,0.3333333333333333,0.5234919320162038
41,Class 41,324,0.8823529411764706,0.18518518518518517,0.30612244897959184,0.6929503932058003
43,Class 43,16,0.75,0.1875,0.3,0.427173783196581
39,Class 39,182,0.9696969696969697,0.17582417582417584,0.29767441860465116,0.643435252367393
56,Class 56,177,0.9629629629629629,0.14689265536723164,0.2549019607843137,0.6087785426254879
34,Class 34,406,0.8823529411764706,0.1477832512315271,0.25316455696202533,0.6844627135313892
48,Class 48,7,1.0,0.14285714285714285,0.25,0.41889061554506557
49,Class 49,242,0.8536585365853658,0.1446280991735537,0.24734982332155478,0.591842405790002
40,Class 40,33,0.5555555555555556,0.15151515151515152,0.23809523809523808,0.4249613659720969
28,Class 28,46,1.0,0.13043478260869565,0.23076923076923078,0.44197068247252924
8,Class 08,272,0.8918918918918919,0.1213235294117647,0.21359223300970873,0.6315260085271724
61,Class 61,83,0.8888888888888888,0.0963855421686747,0.17391304347826086,0.6138343240257416
76,Class 76,11,1.0,0.09090909090909091,0.16666666666666666,0.6448613524223957
74,Class 74,164,0.8333333333333334,0.09146341463414634,0.16483516483516483,0.6130659802260682
12,Class 12,22,0.6666666666666666,0.09090909090909091,0.16,0.23022465293887154
2,Class 02,203,0.8947368421052632,0.08374384236453201,0.15315315315315314,0.5436056634013301
15,Class 15,13,1.0,0.07692307692307693,0.14285714285714285,0.3619535268091699
50,Class 50,197,1.0,0.04568527918781726,0.08737864077669903,0.4973544863333978
79,Class 79,216,0.7142857142857143,0.046296296296296294,0.08695652173913043,0.5313033516380221
51,Class 51,216,0.5555555555555556,0.023148148148148147,0.044444444444444446,0.4947100015771404
72,Class 72,175,0.8,0.022857142857142857,0.044444444444444446,0.5139647585432426
33,Class 33,65,1.0,0.015384615384615385,0.030303030303030304,0.30749941946554227
44,Class 44,276,1.0,0.010869565217391304,0.021505376344086023,0.5352450993073329
71,Class 71,9,0.0,0.0,0.0,0.1514594977884674
7,Class 07,34,0.0,0.0,0.0,0.08665182641773092
6,Class 06,0,0.0,0.0,0.0,
78,Class 78,1,0.0,0.0,0.0,0.5
58,Class 58,11,0.0,0.0,0.0,0.3659430972120558
59,Class 59,4,0.0,0.0,0.0,0.0027649146893725593
60,Class 60,28,0.0,0.0,0.0,0.2609786835711679
77,Class 77,3,0.0,0.0,0.0,0.024222277197105572
5,Class 05,94,0.0,0.0,0.0,0.4251944045886315
63,Class 63,3,0.0,0.0,0.0,0.7333333333333334
3,Class 03,4,0.0,0.0,0.0,0.2952540310313356
64,Class 64,3,0.0,0.0,0.0,0.43393939393939396
65,Class 65,1,0.0,0.0,0.0,0.004830917874396135
66,Class 66,12,0.0,0.0,0.0,0.03499570710801446
54,Class 54,6,0.0,0.0,0.0,0.13479722621276102
68,Class 68,26,0.0,0.0,0.0,0.2661162750143103
69,Class 69,29,0.0,0.0,0.0,0.20693420491443879
70,Class 70,6,0.0,0.0,0.0,0.04004642410679611
4,Class 04,20,0.0,0.0,0.0,0.28877891045642945
21,Class 21,6,0.0,0.0,0.0,0.24050340135224285
53,Class 53,26,0.0,0.0,0.0,0.14893681605214784
52,Class 52,4,0.0,0.0,0.0,0.0293256451151188
23,Class 23,0,0.0,0.0,0.0,
19,Class 19,0,0.0,0.0,0.0,
25,Class 25,2,0.0,0.0,0.0,0.034722222222222224
26,Class 26,5,0.0,0.0,0.0,0.17208517764927062
27,Class 27,24,0.0,0.0,0.0,0.39773269760226726
29,Class 29,14,0.0,0.0,0.0,0.20333809977241946
18,Class 18,13,0.0,0.0,0.0,0.09130555569019709
31,Class 31,7,0.0,0.0,0.0,0.47321570485317116
32,Class 32,13,0.0,0.0,0.0,0.24804124308006864
17,Class 17,2,0.0,0.0,0.0,0.060160427807486636
35,Class 35,11,0.0,0.0,0.0,0.18397270812259378
36,Class 36,0,0.0,0.0,0.0,
37,Class 37,27,0.0,0.0,0.0,0.3903274145620173
38,Class 38,11,0.0,0.0,0.0,0.0828649352319699
16,Class 16,8,0.0,0.0,0.0,0.06348401191290744
14,Class 14,1,0.0,0.0,0.0,0.017857142857142856
11,Class 11,7,0.0,0.0,0.0,0.03849737314014011
45,Class 45,7,0.0,0.0,0.0,0.34471449626005635
46,Class 46,1,0.0,0.0,0.0,0.1
47,Class 47,3,0.0,0.0,0.0,0.06402643920091577
10,Class 10,6,0.0,0.0,0.0,0.05025151119446227
9,Class 09,28,0.0,0.0,0.0,0.22431745052582536
20,Class 20,4,0.0,0.0,0.0,0.21354166666666663
80,Class 80,0,0.0,0.0,0.0,
