class_id,class_name,support,precision,recall,f1,average_precision
55,Class 55,1162,0.9262295081967213,0.6807228915662651,0.7847222222222222,0.9210904347131614
13,Class 13,924,0.9089285714285714,0.5508658008658008,0.6859838274932615,0.8867666967199613
24,Class 24,140,0.9259259259259259,0.35714285714285715,0.5154639175257731,0.773650899761649
67,Class 67,3,1.0,0.3333333333333333,0.5,0.3415267175572519
42,Class 42,244,0.7708333333333334,0.30327868852459017,0.43529411764705883,0.6010976891456584
75,Class 75,734,0.9111111111111111,0.279291553133515,0.42752867570385816,0.7918511611929722
62,Class 62,230,0.9692307692307692,0.27391304347826084,0.4271186440677966,0.7819354703760732
1,Class 01,207,0.835820895522388,0.27053140096618356,0.40875912408759124,0.5842916917244413
30,Class 30,324,0.9032258064516129,0.25925925925925924,0.4028776978417266,0.7297549675623735
41,Class 41,324,0.8541666666666666,0.12654320987654322,0.22043010752688172,0.6511063905056854
34,Class 34,406,0.875,0.10344827586206896,0.18502202643171806,0.6561695706846885
73,Class 73,104,1.0,0.08653846153846154,0.1592920353982301,0.6377717022514722
40,Class 40,33,0.5,0.09090909090909091,0.15384615384615385,0.4152693473352913
49,Class 49,242,0.9473684210526315,0.0743801652892562,0.13793103448275862,0.5574319783252816
43,Class 43,16,1.0,0.0625,0.11764705882352941,0.43506324357823506
61,Class 61,83,0.8333333333333334,0.060240963855421686,0.11235955056179775,0.527586175827
39,Class 39,182,1.0,0.054945054945054944,0.10416666666666667,0.576237978452059
8,Class 08,272,0.6875,0.04044117647058824,0.0763888888888889,0.5975916072277394
79,Class 79,216,0.8,0.037037037037037035,0.07079646017699115,0.5501442830478469
56,Class 56,177,1.0,0.02824858757062147,0.054945054945054944,0.4919145054903905
74,Class 74,164,1.0,0.018292682926829267,0.03592814371257485,0.5831360992924843
50,Class 50,197,1.0,0.01015228426395939,0.020100502512562814,0.4686836174540419
44,Class 44,276,1.0,0.007246376811594203,0.014388489208633094,0.5186504213552012
72,Class 72,175,1.0,0.005714285714285714,0.011363636363636364,0.5171941937058383
48,Class 48,7,0.0,0.0,0.0,0.2687693257564894
51,Class 51,216,0.0,0.0,0.0,0.45385879597093304
52,Class 52,4,0.0,0.0,0.0,0.06213423831070889
53,Class 53,26,0.0,0.0,0.0,0.1444036056789914
54,Class 54,6,0.0,0.0,0.0,0.11619615428550271
60,Class 60,28,0.0,0.0,0.0,0.2229479207967121
57,Class 57,2,0.0,0.0,0.0,0.5046082949308756
58,Class 58,11,0.0,0.0,0.0,0.17823128248520917
59,Class 59,4,0.0,0.0,0.0,0.004850865951400347
46,Class 46,1,0.0,0.0,0.0,0.3333333333333333
63,Class 63,3,0.0,0.0,0.0,0.21256410256410257
64,Class 64,3,0.0,0.0,0.0,0.13006993006993006
65,Class 65,1,0.0,0.0,0.0,0.009433962264150943
66,Class 66,12,0.0,0.0,0.0,0.04938130425820051
68,Class 68,26,0.0,0.0,0.0,0.20609061906771803
69,Class 69,29,0.0,0.0,0.0,0.1445302420064937
70,Class 70,6,0.0,0.0,0.0,0.17834742710656137
71,Class 71,9,0.0,0.0,0.0,0.08008157031803013
76,Class 76,11,0.0,0.0,0.0,0.5837399973763611
77,Class 77,3,0.0,0.0,0.0,0.015431593070274148
78,Class 78,1,0.0,0.0,0.0,0.3333333333333333
47,Class 47,3,0.0,0.0,0.0,0.017551050334012764
0,Class 00,8,0.0,0.0,0.0,0.49731770041552653
45,Class 45,7,0.0,0.0,0.0,0.2784042468984926
10,Class 10,6,0.0,0.0,0.0,0.035778858293657234
17,Class 17,2,0.0,0.0,0.0,0.07720588235294118
16,Class 16,8,0.0,0.0,0.0,0.04544306015762209
15,Class 15,13,0.0,0.0,0.0,0.3632109639570108
14,Class 14,1,0.0,0.0,0.0,0.5
12,Class 12,22,0.0,0.0,0.0,0.1484826803891148
11,Class 11,7,0.0,0.0,0.0,0.050497081472129876
9,Class 09,28,0.0,0.0,0.0,0.2409028409357142
38,Class 38,11,0.0,0.0,0.0,0.11258339322249228
7,Class 07,34,0.0,0.0,0.0,0.12989399164121682
6,Class 06,0,0.0,0.0,0.0,
5,Class 05,94,0.0,0.0,0.0,0.37185739074200136
4,Class 04,20,0.0,0.0,0.0,0.2562686652321141
3,Class 03,4,0.0,0.0,0.0,0.3476720647773279
2,Class 02,203,0.0,0.0,0.0,0.4446877470527418
18,Class 18,13,0.0,0.0,0.0,0.12100158103448708
19,Class 19,0,0.0,0.0,0.0,
20,Class 20,4,0.0,0.0,0.0,0.12358585858585859
21,Class 21,6,0.0,0.0,0.0,0.13706193588546528
22,Class 22,10,0.0,0.0,0.0,0.3800960809277481
23,Class 23,0,0.0,0.0,0.0,
25,Class 25,2,0.0,0.0,0.0,0.20666666666666667
26,Class 26,5,0.0,0.0,0.0,0.16307266667426737
27,Class 27,24,0.0,0.0,0.0,0.2860389542694812
28,Class 28,46,0.0,0.0,0.0,0.38263506461169233
29,Class 29,14,0.0,0.0,0.0,0.20122275635879378
31,Class 31,7,0.0,0.0,0.0,0.5021815622800845
32,Class 32,13,0.0,0.0,0.0,0.19082539822051625
33,Class 33,65,0.0,0.0,0.0,0.2627510110339099
35,Class 35,11,0.0,0.0,0.0,0.19932878946317056
36,Class 36,0,0.0,0.0,0.0,
37,Class 37,27,0.0,0.0,0.0,0.2836473399099393
80,Class 80,0,0.0,0.0,0.0,
